Position,Athlete,Time,Sex,Year
16,Shelly Steely,2:44:51,F,2002
17,Janina Malska,2:45:42,F,2002
18,Makiko Hotta,2:46:50,F,2002
19,Maura Danahy,2:47:37,F,2002
20,Emily LeVan,2:48:58,F,2002
1,Margaret Okayo,2:22:31,F,2003
2,Catherine Ndereba,2:23:03,F,2003
3,Lornah Kiplagat,2:23:43,F,2003
4,Lyudmila Petrova,2:25:00,F,2003
5,Lyubov Denisova,2:25:58,F,2003
6,Joyce Chepchumba,2:26:06,F,2003
7,Susan Chepkemei,2:29:05,F,2003
8,Adriana Fernández,2:32:09,F,2003
9,Olivera Jevtić,2:32:29,F,2003
10,Sylvia Mosqueda,2:33:10,F,2003
11,Firiya Sultanova,2:33:57,F,2003
12,Helena Javornik,2:35:07,F,2003
13,Nataliya Berkut,2:35:23,F,2003
14,Esther Kiplagat,2:35:58,F,2003
15,Gladys Asiba,2:37:47,F,2003
16,Jenny Crain,2:38:49,F,2003
17,Jennifer Rhines,2:43:01,F,2003
18,Sandy Jacobson,2:44:54,F,2003
19,Deborah Toniolo,2:45:08,F,2003
20,Marla Runyan,2:45:12,F,2003
1,Paula Radcliffe,2:23:10,F,2004
2,Susan Chepkemei,2:23:13,F,2004
3,Lyubov Denisova,2:25:18,F,2004
4,Margaret Okayo,2:26:31,F,2004
5,Jeļena Prokopčuka,2:26:51,F,2004
6,Luminita Zaituc,2:28:15,F,2004
7,Lornah Kiplagat,2:28:21,F,2004
8,Larisa Zyusko,2:29:32,F,2004
9,Madaí Pérez,2:29:57,F,2004
10,Kerryn McCann,2:32:06,F,2004
11,Tegla Loroupe,2:33:11,F,2004
12,Lidiya Grigoryeva,2:34:39,F,2004
13,Asha Gigi,2:36:31,F,2004
14,Benita Willis,2:38:03,F,2004
15,Jenny Crain,2:41:06,F,2004
16,Molly Austin,2:41:42,F,2004
17,Emily LeVan,2:43:38,F,2004
18,Annemette Jensen,2:45:28,F,2004
19,Rosanna Munerotto,2:47:00,F,2004
20,Shelly Larson,2:47:47,F,2004
1,Jeļena Prokopčuka,2:24:41,F,2005
2,Susan Chepkemei,2:24:55,F,2005
3,Derartu Tulu,2:25:21,F,2005
4,Salina Kosgei,2:25:30,F,2005
5,Bruna Genovese,2:27:15,F,2005
6,Lyudmila Petrova,2:27:21,F,2005
7,Gete Wami,2:27:40,F,2005
8,Lidiya Grigoryeva,2:27:48,F,2005
9,Lyubov Denisova,2:28:18,F,2005
10,Lornah Kiplagat,2:28:28,F,2005
11,Tetyana Hladyr,2:29:34,F,2005
12,Olesya Nurgalieva,2:29:35,F,2005
13,Elena Nurgalieva,2:32:36,F,2005
14,Dulce María Rodríguez,2:33:19,F,2005
15,Nuța Olaru,2:33:49,F,2005
16,Marie Davenport,2:33:59,F,2005
17,Małgorzata Sobańska,2:35:19,F,2005
18,Jennifer Rhines,2:37:07,F,2005
19,Elena Plastinina,2:40:10,F,2005
20,Zoila Gomez,2:41:43,F,2005
1,Jeļena Prokopčuka,2:25:05,F,2006
2,Tetyana Hladyr,2:26:05,F,2006
3,Catherine Ndereba,2:26:58,F,2006
4,Rita Jeptoo,2:26:59,F,2006
5,Lidiya Grigoryeva,2:27:21,F,2006
6,Deena Kastor,2:27:54,F,2006
7,Nina Rillstone,2:31:19,F,2006
8,Lornah Kiplagat,2:32:31,F,2006
9,Katie McGregor,2:32:36,F,2006
10,Susan Chepkemei,2:32:45,F,2006
11,Sylvia Skvortsova,2:33:17,F,2006
